Cod	Tipo	Descripcion	Criticidad
2014	Alerta	"Se identificaron {0} crédito(s) que no son hipotecarios con una atigüedad mayor a 10 años, con un saldo de colocaciones de S/. {1}, correspondiente al periodo {2}."	Alta
2015	Alerta	"Se identificaron {0} crédito(s) sin garantía, que presentan tasas de provisiones distintas a los establecidos en la Rs. 11356, correspondiente al periodo {1}."	Alta
2016	Alerta	"Se identificaron {0} crédito(s) minoristas con días de atraso al cierre de mes que no concuerdan con su calificación, con un saldo de colocaciones de S/. {1}, correspondiente al periodo {2}."	Alta
2017	Alerta	"Se identificaron {0} crédito(s) con días de atraso reales al cierre de la última cuota pagada que no fueron calculados desde la última cuota pagada, con un saldo de colocaciones de S/. {1}, correspondiente al periodo {2}."	Alta
2018	Alerta	"Se identificaron {0} crédito(s) en la cartera con un monto original mayor al capital por cobrar en los cronogramas con una diferencia de S/. {1}, correspondiente al periodo {2}."	Alta
2019	Alerta	"Se identificaron {0} crédito(s) con una diferencia de provisiones de {1} %, requeridas en el Anexo 5, correspondientes al periodo {2}."	Alta
2020	Alerta	"Se identificaron {0} garantía(s) que coberturan más de 3 créditos a la vez y reportan el mismo importe de cobertura, correspondiente al periodo {1}."	Alta
2021	Alerta	"Se identificaron {0} crédito(s) cancelados que presenta la misma fecha del desembolso y cancelación del crédito, correspondiente al periodo {1}."	Alta
2022	Alerta	"Se identificaron {0} crédito(s) cancelados con adelanto de cuotas pagadas iguales al número original de cuotas de la operación, correspondiente al periodo {1}."	Alta
2023	Alerta	"Se identificaron {0} crédito(s) con saldos negativos en la cartera, correspondiente al periodo {1}."	Alta
2024	Alerta	"Se identificaron {0} cronograma(s) con modalidad de coutas sin periocidad o número de cuotas (NCUO)  pactadas igual a 0, con un saldo de colocaciones S/ {1}, correspondiente al periodo {2}."	Alta
2025	Alerta	"Se detectaron {0} crédito(s) en situación contable vencidos con 0 días de atraso con un saldo de colocaciones de S/. {1} , correspondiente al periodo {2}."	Alta
2026	Alerta	"Se identificaron {0} garantía(s) donde el número de créditos que cobertura la garantía (NCR) no está vinculado al menos a un deudor, con un monto de constitución de la garantía de S/. {1}, correspondiente al periodo {2}."	Alta
